date,rain_mm,district,state
2001-03-09,1.2753174304962158,Cuttack,Odisha
2001-03-10,0.0,Cuttack,Odisha
2001-03-11,0.0,Cuttack,Odisha
2001-03-12,0.0,Cuttack,Odisha
2001-03-13,0.0,Cuttack,Odisha
2001-03-14,0.0,Cuttack,Odisha
2001-03-15,0.0,Cuttack,Odisha
2001-03-16,0.0,Cuttack,Odisha
2001-03-17,0.0,Cuttack,Odisha
2001-03-18,0.0,Cuttack,Odisha
2001-03-19,0.5217207670211792,Cuttack,Odisha
2001-03-20,0.0,Cuttack,Odisha
2001-03-21,0.0,Cuttack,Odisha
2001-03-22,0.0,Cuttack,Odisha
2001-03-23,0.0,Cuttack,Odisha
2001-03-24,0.0,Cuttack,Odisha
2001-03-25,0.0,Cuttack,Odisha
2001-03-26,3.246262311935425,Cuttack,Odisha
2001-03-27,0.0,Cuttack,Odisha
2001-03-28,0.0,Cuttack,Odisha
2001-03-29,0.0,Cuttack,Odisha
2001-03-30,0.0,Cuttack,Odisha
2001-03-31,0.0,Cuttack,Odisha
2001-04-01,0.0,Cuttack,Odisha
2001-04-02,0.0,Cuttack,Odisha
2001-04-03,0.9043159484863281,Cuttack,Odisha
2001-04-04,0.0,Cuttack,Odisha
2001-04-05,0.0,Cuttack,Odisha
2001-04-06,0.0,Cuttack,Odisha
2001-04-07,0.0,Cuttack,Odisha
2001-04-08,0.0,Cuttack,Odisha
2001-04-09,0.0,Cuttack,Odisha
2001-04-10,0.0,Cuttack,Odisha
2001-04-11,0.0,Cuttack,Odisha
2001-04-12,0.0,Cuttack,Odisha
2001-04-13,0.0,Cuttack,Odisha
2001-04-14,0.0,Cuttack,Odisha
2001-04-15,0.4985331892967224,Cuttack,Odisha
2001-04-16,0.0,Cuttack,Odisha
2001-04-17,0.0,Cuttack,Odisha
2001-04-18,0.0,Cuttack,Odisha
2001-04-19,0.16231311857700348,Cuttack,Odisha
2001-04-20,0.6724401116371155,Cuttack,Odisha
2001-04-21,0.0,Cuttack,Odisha
2001-04-22,0.0,Cuttack,Odisha
2001-04-23,0.0,Cuttack,Odisha
2001-04-24,0.0,Cuttack,Odisha
2001-04-25,0.0,Cuttack,Odisha
2001-04-26,0.0,Cuttack,Odisha
2001-04-27,0.0,Cuttack,Odisha
2001-04-28,21.282894134521484,Cuttack,Odisha
2001-04-29,0.0,Cuttack,Odisha
2001-04-30,0.0,Cuttack,Odisha
2001-05-01,0.0,Cuttack,Odisha
2001-05-02,0.0,Cuttack,Odisha
2001-05-03,0.11593794077634811,Cuttack,Odisha
2001-05-04,0.0,Cuttack,Odisha
2001-05-05,0.0,Cuttack,Odisha
2001-05-06,1.947757363319397,Cuttack,Odisha
2001-05-07,0.0,Cuttack,Odisha
2001-05-08,17.088455200195312,Cuttack,Odisha
2001-05-09,1.7073262929916382,Cuttack,Odisha
2001-05-10,22.708093643188477,Cuttack,Odisha
2001-05-11,0.0,Cuttack,Odisha
2001-05-12,0.0,Cuttack,Odisha
2001-05-13,0.0,Cuttack,Odisha
2001-05-14,0.0,Cuttack,Odisha
2001-05-15,0.0,Cuttack,Odisha
2001-05-16,29.615577697753906,Cuttack,Odisha
2001-05-17,0.4173765778541565,Cuttack,Odisha
2001-05-18,0.0,Cuttack,Odisha
2001-05-19,2.79410457611084,Cuttack,Odisha
2001-05-20,6.2719526290893555,Cuttack,Odisha
2001-05-21,0.0,Cuttack,Odisha
2001-05-22,0.0,Cuttack,Odisha
2001-05-23,0.5796896815299988,Cuttack,Odisha
2001-05-24,11.628808975219727,Cuttack,Odisha
2001-05-25,0.4206514060497284,Cuttack,Odisha
2001-05-26,0.2898448407649994,Cuttack,Odisha
2001-05-27,0.0,Cuttack,Odisha
2001-05-28,0.24346967041492462,Cuttack,Odisha
2001-05-29,0.0,Cuttack,Odisha
2001-05-30,0.1391255408525467,Cuttack,Odisha
2001-05-31,0.35940760374069214,Cuttack,Odisha
2001-06-01,0.20868828892707825,Cuttack,Odisha
2001-06-02,15.120694160461426,Cuttack,Odisha
2001-06-03,0.0,Cuttack,Odisha
2001-06-04,79.4080581665039,Cuttack,Odisha
2001-06-05,14.507025718688965,Cuttack,Odisha
2001-06-06,26.739288330078125,Cuttack,Odisha
2001-06-07,4.703860759735107,Cuttack,Odisha
2001-06-08,0.0,Cuttack,Odisha
2001-06-09,2.5239083766937256,Cuttack,Odisha
2001-06-10,0.0,Cuttack,Odisha
2001-06-11,0.0,Cuttack,Odisha
2001-06-12,2.2491960525512695,Cuttack,Odisha
2001-06-13,4.023046493530273,Cuttack,Odisha
2001-06-14,0.10434414446353912,Cuttack,Odisha
2001-06-15,0.1275317370891571,Cuttack,Odisha
2001-06-16,0.5101269483566284,Cuttack,Odisha
2001-06-17,0.0,Cuttack,Odisha
2001-06-18,0.0,Cuttack,Odisha
2001-06-19,9.53396224975586,Cuttack,Odisha
2001-06-20,2.678166627883911,Cuttack,Odisha
2001-06-21,5.954370975494385,Cuttack,Odisha
2001-06-22,5.982332706451416,Cuttack,Odisha
2001-06-23,23.95871353149414,Cuttack,Odisha
2001-06-24,3.157233476638794,Cuttack,Odisha
2001-06-25,21.235755920410156,Cuttack,Odisha
2001-06-26,19.36382484436035,Cuttack,Odisha
2001-06-27,8.817920684814453,Cuttack,Odisha
2001-06-28,0.0,Cuttack,Odisha
2001-06-29,0.6840338706970215,Cuttack,Odisha
2001-06-30,2.6819827556610107,Cuttack,Odisha
2001-07-01,81.55958557128906,Cuttack,Odisha
2001-07-02,134.4453887939453,Cuttack,Odisha
2001-07-03,112.81101989746094,Cuttack,Odisha
2001-07-04,17.626895904541016,Cuttack,Odisha
2001-07-05,2.585416078567505,Cuttack,Odisha
2001-07-06,0.5101269483566284,Cuttack,Odisha
2001-07-07,0.7188152074813843,Cuttack,Odisha
2001-07-08,1.240535855293274,Cuttack,Odisha
2001-07-09,3.292637586593628,Cuttack,Odisha
2001-07-10,1.692694067955017,Cuttack,Odisha
2001-07-11,0.3825951814651489,Cuttack,Odisha
2001-07-12,0.8115655779838562,Cuttack,Odisha
2001-07-13,1.2619541883468628,Cuttack,Odisha
2001-07-14,0.0,Cuttack,Odisha
2001-07-15,0.0,Cuttack,Odisha
2001-07-16,5.8548665046691895,Cuttack,Odisha
2001-07-17,9.498076438903809,Cuttack,Odisha
2001-07-18,7.8532843589782715,Cuttack,Odisha
2001-07-19,12.841745376586914,Cuttack,Odisha
2001-07-20,0.23187588155269623,Cuttack,Odisha
2001-07-21,78.55730438232422,Cuttack,Odisha
2001-07-22,1.9175262451171875,Cuttack,Odisha
2001-07-23,2.2607898712158203,Cuttack,Odisha
2001-07-24,5.692363262176514,Cuttack,Odisha
2001-07-25,10.41854190826416,Cuttack,Odisha
2001-07-26,2.1100707054138184,Cuttack,Odisha
2001-07-27,3.327155113220215,Cuttack,Odisha
2001-07-28,3.663511276245117,Cuttack,Odisha
2001-07-29,2.2560505867004395,Cuttack,Odisha
2001-07-30,3.775543212890625,Cuttack,Odisha
2001-07-31,3.8672831058502197,Cuttack,Odisha
2001-08-01,25.116443634033203,Cuttack,Odisha
2001-08-02,51.67304611206055,Cuttack,Odisha
2001-08-03,29.641765594482422,Cuttack,Odisha
2001-08-04,18.34325408935547,Cuttack,Odisha
2001-08-05,9.447372436523438,Cuttack,Odisha
2001-08-06,5.499074935913086,Cuttack,Odisha
2001-08-07,0.0,Cuttack,Odisha
2001-08-08,8.015580177307129,Cuttack,Odisha
2001-08-09,0.3941890001296997,Cuttack,Odisha
2001-08-10,1.1825670003890991,Cuttack,Odisha
2001-08-11,2.2376022338867188,Cuttack,Odisha
2001-08-12,149.03363037109375,Cuttack,Odisha
2001-08-13,52.19657516479492,Cuttack,Odisha
